ID Estación,Estacion,Fecha,Efectivo,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
7900017,Monumental,2023-11-11,7801.5,353.5,7448.0,12293.0,1539.0,741.0,20008.5,154.0,28084.0,14573.0,784,"1,294",325,156,"1,775","2,559"
7900018,Monte Olivette,2023-11-11,1921.5,88.0,1833.5,3667.0,475.0,270.75,6354.0,0.0,8305.5,4412.75,193,386,100,57,543,736
7900019,Circunvalacion,2023-11-11,9487.5,415.0,9072.5,16330.5,1710.0,1144.75,34544.5,10.0,44381.0,19185.25,955,"1,719",361,241,"2,321","3,276"
7900020,Ciencias de La Salud,2023-11-11,7965.0,374.5,7590.5,10174.5,1178.0,693.5,14469.5,72.0,22686.5,12046.0,799,"1,071",248,146,"1,465","2,264"
7900021,Juan Alvarez,2023-11-11,9926.0,473.5,9452.5,12454.5,1201.75,774.25,18334.5,34.0,28554.5,14430.5,995,"1,311",253,163,"1,727","2,722"
7900022,Alameda,2023-11-11,8657.5,383.0,8274.5,10402.5,1543.75,703.0,16774.5,24.0,25746.0,12649.25,871,"1,103",325,148,"1,576","2,447"
7900023,San Juan de Dios,2023-11-11,44969.5,1820.5,43149.0,62396.0,7210.5,3899.75,63657.7,333.5,109440.7,73506.25,"4,542","7,526","1,521",821,"9,868","14,410"
7900024,Bicentenario,2023-11-11,12737.0,605.5,12131.5,26552.5,3339.25,1667.25,32708.5,155.0,46180.5,31559.0,"1,277","3,757",708,351,"4,816","6,093"
7900025,La  Paz,2023-11-11,3863.0,186.5,3676.5,5681.0,641.25,342.0,11965.5,75.0,15963.5,6664.25,387,598,135,72,805,"1,192"
7900026,Ninos Heroes,2023-11-11,21911.0,1011.0,20900.0,26799.5,2565.0,1482.0,42555.0,233.0,65099.0,30846.5,"2,200","2,821",542,312,"3,675","5,875"
7900027,Agua Azul,2023-11-11,6975.0,325.0,6650.0,13081.5,907.25,555.75,21674.5,174.0,29033.5,14544.5,700,"1,377",191,117,"1,685","2,385"
7900028,Cipres,2023-11-11,2620.5,112.5,2508.0,4123.0,327.75,128.25,8334.5,20.0,10975.0,4579.0,264,434,70,27,531,795
7900029,Heroe de Nacozari,2023-11-11,4948.5,236.5,4712.0,5234.5,674.5,342.0,10121.5,62.5,15222.5,6251.0,496,551,142,72,765,"1,261"
7900030,Lazaro Cardenas,2023-11-11,10600.5,483.0,10117.5,21137.5,1491.5,745.75,44592.7,290.0,55753.2,23374.75,"1,065","2,225",314,157,"2,696","3,761"
7900031,El Dean,2023-11-11,1632.0,74.0,1558.0,2878.5,275.5,137.75,8210.5,9.0,9911.5,3291.75,164,303,58,29,390,554
7900032,Zona Industrial,2023-11-11,3152.0,140.5,3011.5,5443.5,494.0,247.0,10635.5,18.0,13835.5,6184.5,317,573,104,52,729,"1,046"
7900033,Lopez de Legazpi,2023-11-11,3478.0,153.0,3325.0,6232.0,494.0,285.0,14664.0,156.0,18538.0,7011.0,350,656,105,60,821,"1,171"
7900034,Clemente Orozco,2023-11-11,12821.0,537.5,12283.5,18287.5,1914.25,1282.5,38212.5,92.0,51665.5,21484.25,"1,293","1,927",405,270,"2,602","3,895"
7900035,Artes Plasticas,2023-11-11,3315.5,152.0,3163.5,5291.5,641.25,365.75,9861.0,0.0,13296.5,6298.5,333,561,135,77,773,"1,106"
7900036,Escultura,2023-11-11,6362.5,292.0,6070.5,9167.5,912.0,579.5,31405.7,140.0,38448.2,10659.0,639,"1,033",192,122,"1,347","1,986"
7900037,Fray  Angelico,2023-11-11,35215.5,1557.0,33658.5,45281.75,4963.75,2436.75,87332.7,553.5,123521.7,52682.25,"3,543","5,983","1,046",513,"7,542","11,085"
7900011,Mirador,2023-11-12,4365.0,204.0,4161.0,9295.75,1116.25,608.0,12443.0,25.0,16893.0,11020.0,438,992,235,128,"1,355","1,793"
7900012,Huentitan,2023-11-12,4392.5,193.5,4199.0,7319.75,878.75,441.75,10800.5,16.0,15269.0,8640.25,442,771,185,93,"1,049","1,491"
7900013,Zoologico,2023-11-12,5723.0,241.5,5481.5,9305.25,897.75,584.25,15420.0,123.0,21296.0,10787.25,577,980,189,123,"1,292","1,869"
7900014,Independencia Nte.,2023-11-12,11539.5,538.5,11001.0,18886.0,2218.25,1225.5,26557.0,41.0,38417.5,22329.75,"1,158","2,392",467,258,"3,117","4,275"
7900015,San Patricio,2023-11-12,8314.5,363.0,7951.5,12126.75,1672.0,940.5,24764.5,24.0,33223.0,14739.25,837,"1,279",352,198,"1,829","2,666"
7900016,Igualdad,2023-11-12,4270.5,195.0,4075.5,5633.5,665.0,403.75,9579.0,12.0,13891.5,6702.25,429,593,141,85,819,"1,248"
7900017,Monumental,2023-11-12,5232.5,226.0,5006.5,8132.0,964.25,579.5,13971.0,127.0,19510.5,9675.75,527,856,204,122,"1,182","1,709"
7900018,Monte Olivette,2023-11-12,1484.0,78.0,1406.0,2299.0,365.75,190.0,4235.5,63.0,5872.5,2854.75,148,242,77,40,359,507
7900019,Circunvalacion,2023-11-12,6663.5,298.5,6365.0,9386.0,1016.5,646.0,18551.5,117.0,25452.0,11048.5,670,988,214,136,"1,338","2,008"
7900020,Ciencias de La Salud,2023-11-12,2917.7,134.2,2783.5,4493.5,470.25,204.25,8484.5,43.0,11475.2,5168.0,293,473,100,43,616,909
