Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
2021-01-04,A06,8326.0,0.0,374.5,7951.5,5386.5,1254.0,0.0,0.0,0.0,8326.0,6640.5,837,975,274,0,1249,2086
2021-01-04,A07,1582.5,0.0,72.0,1510.5,503.5,337.25,0.0,0.0,0.0,1582.5,840.75,159,111,78,0,189,348
2021-01-04,A08,12376.0,0.0,634.0,11742.0,3648.0,850.25,0.0,0.0,0.0,12376.0,4498.25,1236,792,192,0,984,2220
2021-01-04,A09,2013.0,0.0,103.5,1909.5,446.5,71.25,0.0,0.0,0.0,2013.0,517.75,201,104,18,0,122,323
2021-01-04,A13,279.5,0.0,13.5,266.0,142.5,57.0,0.0,0.0,0.0,279.5,199.5,28,33,12,0,45,73
2021-01-04,A14,425.0,0.0,16.5,408.5,76.0,38.0,0.0,0.0,0.0,425.0,114.0,43,10,8,0,18,61
2021-01-04,A15,1441.0,0.0,73.0,1368.0,1206.5,256.5,0.0,0.0,0.0,1441.0,1463.0,144,321,56,0,377,521
2021-01-04,A16,11280.5,0.0,545.5,10735.0,2413.0,845.5,0.0,0.0,0.0,11280.5,3258.5,1130,392,183,0,575,1705
2021-01-04,A17,1755.0,0.0,83.0,1672.0,712.5,175.75,0.0,0.0,0.0,1755.0,888.25,176,158,37,0,195,371
2021-01-04,A18,8361.5,0.0,362.5,7999.0,3648.0,745.75,0.0,0.0,0.0,8361.5,4393.75,842,628,157,0,785,1627
2021-01-04,A19,32337.5,0.0,1557.5,30780.0,11846.5,1572.25,0.0,0.0,0.0,32337.5,13418.75,3240,2209,394,0,2603,5843
2021-01-04,A20,10845.5,0.0,528.5,10317.0,5073.0,669.75,0.0,0.0,0.0,10845.5,5742.75,1086,959,159,0,1118,2204
2021-01-05,A03,617.0,0.0,28.0,589.0,104.5,99.75,0.0,0.0,0.0,617.0,204.25,62,31,22,0,53,115
2021-01-05,A05,1970.5,0.0,99.0,1871.5,655.5,147.25,0.0,0.0,0.0,1970.5,802.75,197,154,45,0,199,396
2021-01-05,A06,7350.5,0.0,330.0,7020.5,5092.0,1011.75,0.0,0.0,0.0,7350.5,6103.75,739,990,226,0,1216,1955
2021-01-05,A07,2112.5,0.0,98.5,2014.0,1026.0,232.75,0.0,0.0,0.0,2112.5,1258.75,212,199,53,0,252,464
2021-01-05,A08,12712.0,0.0,590.0,12122.0,4085.0,665.0,0.0,0.0,0.0,12712.0,4750.0,1276,835,152,0,987,2263
2021-01-05,A09,2378.0,0.0,117.0,2261.0,855.0,123.5,0.0,0.0,0.0,2378.0,978.5,238,130,29,0,159,397
2021-01-05,A13,527.5,0.0,24.0,503.5,285.0,61.75,0.0,0.0,0.0,527.5,346.75,53,51,13,0,64,117
2021-01-05,A14,1393.5,0.0,63.5,1330.0,285.0,95.0,0.0,0.0,0.0,1393.5,380.0,140,32,20,0,52,192
2021-01-05,A15,1430.5,0.0,62.5,1368.0,1282.5,180.5,0.0,0.0,0.0,1430.5,1463.0,144,257,39,0,296,440
2021-01-05,A16,9431.0,0.0,425.0,9006.0,2726.5,722.0,0.0,0.0,0.0,9431.0,3448.5,948,339,152,0,491,1439
2021-01-05,A17,1377.0,0.0,66.0,1311.0,741.0,171.0,0.0,0.0,0.0,1377.0,912.0,138,148,36,0,184,322
2021-01-05,A18,6924.5,0.0,341.0,6583.5,3847.5,793.25,0.0,0.0,0.0,6924.5,4640.75,693,651,169,0,820,1513
2021-01-05,A19,26538.5,0.0,1240.0,25298.5,9956.0,1311.0,0.0,0.0,0.0,26538.5,11267.0,2663,1915,305,0,2220,4883
2021-01-05,A20,12939.0,0.0,636.5,12302.5,6830.5,693.5,0.0,0.0,0.0,12939.0,7524.0,1295,1219,172,0,1391,2686
2021-01-06,A03,937.0,0.0,44.0,893.0,275.5,166.25,0.0,0.0,0.0,937.0,441.75,94,52,35,0,87,181
2021-01-06,A05,1579.0,0.0,87.5,1491.5,617.5,156.75,0.0,0.0,0.0,1579.0,774.25,157,113,50,0,163,320
