Fecha,Unidad,Total Viajes,Total Vueltas,Km Programados,Km Vacios,Km Realizados
01/01/2022,TM-025    ,4,2,64,0,64
01/01/2022,TM-026    ,332,166,5312,0,5312
01/01/2022,TM-027    ,448,224,7138,50,7088
01/01/2022,TM-029    ,546,273,8730,10,8720
01/01/2022,TM-031    ,242,121,3860,36,3824
01/01/2022,TM-034    ,606,303,9660,76,9584
01/01/2022,TM-035    ,576,288,9210,10,9200
01/01/2022,TM-036    ,527,263.5,8432,0,8432
01/01/2022,TM-037    ,61,30.5,976,0,976
01/01/2022,TM-039    ,598,299,9562,10,9552
01/01/2022,TM-040    ,563,281.5,9002,10,8992
01/01/2022,TM-043    ,406,203,6454,70,6384
01/01/2022,TM-044    ,239,119.5,3794,82,3712
01/01/2022,TM-045    ,331,165.5,5248,112,5136
01/01/2022,TM-046    ,495,247.5,7848,232,7616
01/01/2022,TM-047    ,501,250.5,7950,190,7760
01/01/2022,TM-048    ,455,227.5,7238,134,7104
01/01/2022,TM-049    ,505,252.5,8014,206,7808
01/01/2022,TM-050    ,480,240,7620,228,7392
01/01/2022,TM-051    ,520,260,8248,280,7968
01/01/2022,TM-052    ,529,264.5,8398,238,8160
01/01/2022,TM-053    ,515,257.5,8168,216,7952
01/01/2022,TM-054    ,472,236,7510,150,7360
01/01/2022,TM-055    ,461,230.5,7280,320,6960
01/01/2022,TM-056    ,510,255,8118,118,8000
01/01/2022,TM-057    ,466,233,7396,180,7216
01/01/2022,TM-058    ,470,235,7490,114,7376
01/01/2022,TM-059    ,177,88.5,2808,56,2752
01/01/2022,TM-060    ,23,11.5,368,0,368
01/02/2022,AM-01     ,1718,859,8431,106,8325
01/02/2022,AM-02     ,1353,676.5,6656,82,6574
01/02/2022,AM-03     ,852,426,7469,445,7024
01/02/2022,AM-04     ,756,378,6916,383,6533
01/02/2022,AM-05     ,697,348.5,6106,297,5809
01/02/2022,AM-06     ,739,369.5,6808,530,6278
01/02/2022,AM-068    ,816,408,4211,669,3542
01/02/2022,AM-069    ,896,448,4060,995,3065
01/02/2022,AM-07     ,770,385,6989.7,499.2,6490.5
01/02/2022,AM-070    ,826,413,3704,795,2909
01/02/2022,AM-071    ,935,467.5,4237,532,3705
01/02/2022,AM-072    ,1618,809,6680,474,6206
01/02/2022,AM-073    ,1150,575,6410,611,5799
01/02/2022,AM-074    ,845,422.5,6142,701,5441
01/02/2022,AM-075    ,823,411.5,5783,569,5214
01/02/2022,AM-076    ,1011,505.5,6520,548,5972
01/02/2022,AM-077    ,1169,584.5,7201,580,6621
01/02/2022,AM-078    ,860,430,6533,656,5877
01/02/2022,AM-079    ,622,311,6738,1015,5723
01/02/2022,AM-08     ,455,227.5,7442,1092,6350
01/02/2022,AM-080    ,626,313,6457,878,5579
01/02/2022,AM-081    ,607,303.5,6314,443,5871
01/02/2022,AM-082    ,782,391,6517,473,6044
01/02/2022,AM-083    ,634,317,6066,371,5695
01/02/2022,AM-084    ,758,379,6553,301,6252
01/02/2022,AM-085    ,817,408.5,6502,284,6218
01/02/2022,AM-086    ,846,423,6602,396,6206
01/02/2022,AM-087    ,779,389.5,6528,288,6240
01/02/2022,AM-088    ,995,497.5,7364,428,6936
01/02/2022,AM-089    ,848,424,5882,361,5521
01/02/2022,AM-09     ,450,225,9177,1710,7467
01/02/2022,AM-090    ,847,423.5,5793,357,5436
01/02/2022,AM-091    ,687,343.5,5233,388,4845
01/02/2022,AM-092    ,603,301.5,6278,900,5378
01/02/2022,AM-093    ,457,228.5,5499,1089,4410
01/02/2022,AM-094    ,355,177.5,5397,1104,4293
01/02/2022,AM-095    ,356,178,5939,1584,4355
01/02/2022,AM-096    ,264,132,4986,1656,3330
01/02/2022,AM-097    ,282,141,4696,1162,3534
01/02/2022,AM-098    ,232,116,4433,1352,3081
01/02/2022,AM-099    ,212,106,4041,1340,2701
01/02/2022,AM-10     ,523,261.5,4368,454,3914
01/02/2022,AM-100    ,222,111,3008,812,2196
01/02/2022,AM-101    ,136,68,2272,400,1872
01/02/2022,AM-102    ,247,123.5,2797,513,2284
01/02/2022,AM-103    ,680,340,3411,446,2965
01/02/2022,AM-11     ,394,197,8036,1500,6536
01/02/2022,AM-12     ,482,241,9741,1590,8151
01/02/2022,AM-13     ,409,204.5,8409,1740,6669
01/02/2022,AM-14     ,254,127,3642,766,2876
01/02/2022,AM-15     ,373,186.5,6355,799,5556
01/02/2022,AM-16     ,290,145,4352,526,3826
01/02/2022,AM-17     ,434,217,8818,1560,7258
01/02/2022,AM-18     ,424,212,8848,2160,6688
01/02/2022,AM-19     ,476,238,9093,2199,6894
01/02/2022,AM-20     ,281,140.5,5455,480,4975
01/02/2022,AM-21     ,416,208,8344,1200,7144
01/02/2022,AM-22     ,394,197,8014,1440,6574
01/02/2022,AM-23     ,360,180,7338,1740,5598
01/02/2022,AM-24     ,477,238.5,9452.65,1230.3,8222.35
01/02/2022,AM-25     ,296,148,6130,1380,4750
01/02/2022,AM-26     ,538,269,7533,519,7014
01/02/2022,AM-27     ,674,337,9437,701,8736
01/02/2022,AM-28     ,646,323,8650,638,8012
01/02/2022,AM-29     ,640,320,8964,606,8358
01/02/2022,AM-30     ,598,299,8218,755,7463
01/02/2022,AM-31     ,401,200.5,5619,551,5068
01/02/2022,AM-32     ,559,279.5,7832,673,7159
01/02/2022,AM-33     ,460,230,5683,440,5243
01/02/2022,AM-35     ,686,343,3247,553,2694
01/02/2022,AM-36     ,782,391,3726,373,3353
01/02/2022,AM-37     ,857,428.5,3881.16,572.7,3308.46
01/02/2022,AM-38     ,1052,526,4897,724,4173
01/02/2022,AM-39     ,972,486,4127,643,3484
01/02/2022,AM-40     ,941,470.5,4023,643,3380
01/02/2022,AM-41     ,1704,852,6936,220,6716
01/02/2022,AM-42     ,1676,838,6704,216,6488
01/02/2022,AM-43     ,12,6,116,17,99
01/02/2022,AM-44     ,780,390,7722,182,7540
01/02/2022,AM-45     ,636,318,5679,244,5435
01/02/2022,AM-46     ,1609,804.5,6409.6,156,6253.6
01/02/2022,AM-47     ,1646,823,6903,426,6477
01/02/2022,AM-48     ,1706,853,7044,440,6604
01/02/2022,AM-49     ,1729,864.5,6079,72,6007
01/02/2022,AM-50     ,1351,675.5,5285,12,5273
01/02/2022,AM-51     ,1478,739,5744,84,5660
01/02/2022,AM-52     ,1920,960,6690,84,6606
01/02/2022,AM-53     ,1922,961,6700,84,6616
01/02/2022,AM-54     ,714,357,3570,0,3570
01/02/2022,AM-55     ,286,143,1292,0,1292
01/02/2022,AM-62     ,18,9,80,16,64
01/02/2022,AM-64     ,635,317.5,6497,733,5764
01/02/2022,AM-65     ,623,311.5,6237,759,5478
01/02/2022,AM-66     ,631,315.5,6303,783,5520
01/02/2022,AM-67     ,606,303,6298,765,5533
01/02/2022,TM-001    ,506,253,8066,50,8016
01/02/2022,TM-002    ,297,148.5,4728,40,4688
01/02/2022,TM-003    ,534,267,8538,26,8512
01/02/2022,TM-004    ,360,180,5736,40,5696
01/02/2022,TM-005    ,481,240.5,7690,58,7632
01/02/2022,TM-006    ,278,139,4448,0,4448
01/02/2022,TM-007    ,540,270,8640,0,8640
01/02/2022,TM-008    ,470,235,7520,0,7520
01/02/2022,TM-009    ,303,151.5,4842,10,4832
01/02/2022,TM-010    ,425,212.5,6794,10,6784
01/02/2022,TM-011    ,104,52,1658,10,1648
01/02/2022,TM-012    ,461,230.5,7352,40,7312
01/02/2022,TM-013    ,496,248,7918,62,7856
01/02/2022,TM-014    ,394,197,6274,82,6192
01/02/2022,TM-016    ,437,218.5,6980,20,6960
01/02/2022,TM-018    ,204,102,3264,0,3264
01/02/2022,TM-019    ,560,280,8942,30,8912
01/02/2022,TM-020    ,355,177.5,5680,0,5680
01/02/2022,TM-021    ,174,87,2784,0,2784
01/02/2022,TM-022    ,406,203,6484,36,6448
01/02/2022,TM-023    ,493,246.5,7882,10,7872
01/02/2022,TM-025    ,367,183.5,5872,0,5872
01/02/2022,TM-027    ,544,272,8704,0,8704
01/02/2022,TM-028    ,187,93.5,2986,10,2976
01/02/2022,TM-029    ,405,202.5,6480,0,6480
01/02/2022,TM-030    ,72,36,1152,0,1152
01/02/2022,TM-031    ,466,233,7438,62,7376
01/02/2022,TM-032    ,17,8.5,266,26,240
01/02/2022,TM-033    ,486,243,7764,52,7712
01/02/2022,TM-034    ,566,283,9050,26,9024
01/02/2022,TM-035    ,73,36.5,1168,0,1168
01/02/2022,TM-036    ,10,5,160,0,160
01/02/2022,TM-037    ,6,3,96,0,96
01/02/2022,TM-038    ,417,208.5,6672,0,6672
01/02/2022,TM-039    ,387,193.5,6186,10,6176
01/02/2022,TM-040    ,256,128,4084,20,4064
01/02/2022,TM-042    ,106,53,1690,10,1680
01/02/2022,TM-043    ,431,215.5,6878,62,6816
01/02/2022,TM-044    ,293,146.5,4676,52,4624
01/02/2022,TM-045    ,196,98,3130,26,3104
01/02/2022,TM-046    ,448,224,7108,148,6960
01/02/2022,TM-047    ,502,251,7966,254,7712
01/02/2022,TM-048    ,427,213.5,6742,310,6432
01/02/2022,TM-049    ,408,204,6468,196,6272
01/02/2022,TM-050    ,422,211,6686,238,6448
01/02/2022,TM-051    ,432,216,6852,260,6592
01/02/2022,TM-052    ,444,222,7050,186,6864
01/02/2022,TM-053    ,475,237.5,7558,150,7408
01/02/2022,TM-054    ,480,240,7620,180,7440
01/02/2022,TM-055    ,346,173,5482,170,5312
01/02/2022,TM-056    ,513,256.5,8130,162,7968
01/02/2022,TM-057    ,465,232.5,7362,162,7200
01/02/2022,TM-058    ,505,252.5,8038,102,7936
01/02/2022,TM-059    ,479,239.5,7622,118,7504
01/02/2022,TM-060    ,488,244,7790,30,7760
01/03/2022,AM-007    ,2,1,27,8,19
01/03/2022,AM-008    ,3,1.5,63,30,33
01/03/2022,AM-01     ,1937,968.5,9508,118,9390
01/03/2022,AM-02     ,2080,1040,10214,124,10090
01/03/2022,AM-03     ,791,395.5,7011,487,6524
01/03/2022,AM-04     ,930,465,8345,586,7759
01/03/2022,AM-05     ,840,420,7616,469.2,7146.8
01/03/2022,AM-06     ,817,408.5,7312,302.2,7009.8
01/03/2022,AM-068    ,1155,577.5,5250,862,4388
01/03/2022,AM-069    ,1097,548.5,4997,1432,3565
01/03/2022,AM-07     ,885,442.5,7876,352,7524
01/03/2022,AM-070    ,1135,567.5,4893,668,4225
01/03/2022,AM-071    ,994,497,4456,663,3793
01/03/2022,AM-072    ,1389,694.5,6652,612,6040
01/03/2022,AM-073    ,1138,569,6720,689,6031
01/03/2022,AM-074    ,790,395,7404,1256,6148
01/03/2022,AM-075    ,754,377,7606,1354,6252
01/03/2022,AM-076    ,736,368,7617,1036,6581
01/03/2022,AM-077    ,739,369.5,7737,928,6809
01/03/2022,AM-078    ,681,340.5,7124,763,6361
01/03/2022,AM-079    ,689,344.5,7188,637,6551
01/03/2022,AM-08     ,1156,578,6023.06,338.8,5684.26
01/03/2022,AM-080    ,691,345.5,7365,624,6741
01/03/2022,AM-081    ,718,359,7345,375,6970
01/03/2022,AM-082    ,795,397.5,7670,373,7297
01/03/2022,AM-083    ,975,487.5,7922,264,7658
01/03/2022,AM-084    ,864,432,7489,255,7234
01/03/2022,AM-085    ,963,481.5,7814,271,7543
01/03/2022,AM-086    ,886,443,7210,527,6683
01/03/2022,AM-087    ,1067,533.5,7215,446,6769
01/03/2022,AM-088    ,1322,661,7150,535,6615
01/03/2022,AM-089    ,1408,704,6847,623,6224
01/03/2022,AM-09     ,482,241,9634,1657,7977
01/03/2022,AM-090    ,1523,761.5,8014,757,7257
01/03/2022,AM-091    ,1014,507,6831,692,6139
01/03/2022,AM-092    ,678,339,6732,1053,5679
01/03/2022,AM-093    ,379,189.5,6478,1461,5017
01/03/2022,AM-094    ,374,187,6956,1698,5258
01/03/2022,AM-095    ,272,136,5784,1994,3790
01/03/2022,AM-096    ,273,136.5,5421,1540,3881
01/03/2022,AM-097    ,322,161,5069,1134,3935
01/03/2022,AM-098    ,408,204,4778,1148,3630
01/03/2022,AM-099    ,146,73,2316,392,1924
01/03/2022,AM-10     ,391,195.5,7444.5,1461.4,5983.1
01/03/2022,AM-100    ,184,92,3115,712,2403
01/03/2022,AM-101    ,92,46,1216,128,1088
01/03/2022,AM-102    ,60,30,731,74,657
01/03/2022,AM-103    ,237,118.5,872,54,818
01/03/2022,AM-11     ,567,283.5,10245,1675,8570
01/03/2022,AM-12     ,504,252,10445,2370,8075
01/03/2022,AM-13     ,356,178,7171,1110,6061
01/03/2022,AM-14     ,303,151.5,5529,1434,4095
01/03/2022,AM-15     ,344,172,5873,886,4987
01/03/2022,AM-16     ,575,287.5,6135,839,5296
01/03/2022,AM-17     ,466,233,9349,1350,7999
01/03/2022,AM-18     ,505,252.5,9756.8,1331.2,8425.6
01/03/2022,AM-19     ,534,267,10784,1740,9044
01/03/2022,AM-20     ,504,252,8115.65,830.9,7284.75
01/03/2022,AM-21     ,352,176,7388.7,1918.8,5469.9
01/03/2022,AM-22     ,534,267,11077.7,2549.4,8528.3
01/03/2022,AM-23     ,433,216.5,8876,1957,6919
01/03/2022,AM-24     ,460,230,8275,1426,6849
01/03/2022,AM-25     ,485,242.5,9375,2170,7205
01/03/2022,AM-26     ,658,329,9223,795,8428
01/03/2022,AM-27     ,664,332,9289.81,659.6,8630.21
01/03/2022,AM-28     ,713,356.5,10050.34,951.4,9098.94
01/03/2022,AM-29     ,708,354,9979.34,702.4,9276.94
01/03/2022,AM-30     ,747,373.5,10450.81,756.6,9694.21
01/03/2022,AM-31     ,755,377.5,10512,747,9765
01/03/2022,AM-32     ,627,313.5,8565,719,7846
01/03/2022,AM-33     ,466,233,4396,388,4008
01/03/2022,AM-34     ,12,6,132,11,121
01/03/2022,AM-35     ,71,35.5,297,41,256
01/03/2022,AM-36     ,63,31.5,355,39,316
01/03/2022,AM-37     ,1083,541.5,4951,766,4185
01/03/2022,AM-38     ,1119,559.5,4841,678,4163
01/03/2022,AM-39     ,1206,603,5170,842,4328
01/03/2022,AM-40     ,1196,598,5095,807,4288
01/03/2022,AM-41     ,1743,871.5,7160,420,6740
01/03/2022,AM-42     ,1838,919,7432,320,7112
01/03/2022,AM-44     ,782,391,7671,200,7471
01/03/2022,AM-45     ,491,245.5,4949,458,4491
01/03/2022,AM-46     ,2068,1034,8278,204,8074
01/03/2022,AM-47     ,1855,927.5,7545,291,7254
01/03/2022,AM-48     ,1824,912,7572,388,7184
01/03/2022,AM-49     ,867,433.5,3337,78,3259
01/03/2022,AM-50     ,1942,971,7006,72,6934
01/03/2022,AM-51     ,1457,728.5,5543.1,48.8,5494.3
01/03/2022,AM-52     ,1761,880.5,6385,84,6301
01/03/2022,AM-53     ,1905,952.5,6615,84,6531
01/03/2022,AM-54     ,912,456,4560,0,4560
01/03/2022,AM-55     ,1417,708.5,5219,24,5195
01/03/2022,AM-56     ,86,43,614,66,548
01/03/2022,AM-57     ,39,19.5,167,27,140
01/03/2022,AM-59     ,45,22.5,268,26,242
01/03/2022,AM-60     ,50,25,371,38,333
01/03/2022,AM-61     ,42,21,416,30,386
01/03/2022,AM-62     ,14,7,137,7,130
01/03/2022,AM-63     ,33,16.5,302,7,295
01/03/2022,AM-64     ,686,343,6954,871,6083
01/03/2022,AM-65     ,640,320,6437.2,850.72,5586.48
01/03/2022,AM-66     ,643,321.5,6563,735,5828
01/03/2022,AM-67     ,700,350,6995,848,6147
01/03/2022,TM-001    ,578,289,9212,60,9152
01/03/2022,TM-002    ,210,105,3360,0,3360
01/03/2022,TM-003    ,600,300,9594,42,9552
01/03/2022,TM-004    ,460,230,7318,86,7232
01/03/2022,TM-005    ,548,274,8768,0,8768
01/03/2022,TM-006    ,100,50,1594,10,1584
01/03/2022,TM-007    ,583,291.5,9328,0,9328
01/03/2022,TM-008    ,555,277.5,8874,26,8848
01/03/2022,TM-009    ,90,45,1440,0,1440
01/03/2022,TM-010    ,603,301.5,9630,62,9568
01/03/2022,TM-011    ,55,27.5,880,0,880
01/03/2022,TM-012    ,551,275.5,8810,10,8800
01/03/2022,TM-013    ,515,257.5,8234,26,8208
01/03/2022,TM-014    ,594,297,9498,10,9488
01/03/2022,TM-016    ,555,277.5,8844,60,8784
01/03/2022,TM-018    ,511,255.5,8140,60,8080
01/03/2022,TM-019    ,607,303.5,9694,30,9664
01/03/2022,TM-020    ,79,39.5,1264,0,1264
01/03/2022,TM-021    ,36,18,570,26,544
01/03/2022,TM-022    ,571,285.5,9136,0,9136
01/03/2022,TM-023    ,518,259,8288,0,8288
01/03/2022,TM-025    ,499,249.5,7984,0,7984
01/03/2022,TM-027    ,504,252,7992,136,7856
01/03/2022,TM-028    ,541,270.5,8656,0,8656
01/03/2022,TM-029    ,538,269,8608,0,8608
01/03/2022,TM-030    ,529,264.5,8452,36,8416
01/03/2022,TM-031    ,343,171.5,5482,26,5456
01/03/2022,TM-032    ,186,93,2970,26,2944
01/03/2022,TM-033    ,143,71.5,2282,10,2272
01/03/2022,TM-034    ,570,285,9114,10,9104
01/03/2022,TM-035    ,502,251,8026,10,8016
01/03/2022,TM-037    ,5,2.5,80,0,80
01/03/2022,TM-038    ,491,245.5,7796,100,7696
01/03/2022,TM-039    ,554,277,8840,88,8752
01/03/2022,TM-040    ,454,227,7210,90,7120
01/03/2022,TM-041    ,431,215.5,6884,36,6848
01/03/2022,TM-042    ,95,47.5,1514,10,1504
01/03/2022,TM-043    ,313,156.5,4996,36,4960
01/03/2022,TM-044    ,270,135,4290,50,4240
01/03/2022,TM-045    ,62,31,992,0,992
01/03/2022,TM-046    ,471,235.5,7494,166,7328
01/03/2022,TM-047    ,475,237.5,7540,180,7360
01/03/2022,TM-048    ,507,253.5,8040,280,7760
01/03/2022,TM-049    ,550,275,8728,248,8480
01/03/2022,TM-050    ,518,259,8222,302,7920
01/03/2022,TM-051    ,498,249,7896,296,7600
01/03/2022,TM-052    ,476,238,7568,192,7376
01/03/2022,TM-053    ,550,275,8734,270,8464
01/03/2022,TM-054    ,459,229.5,7284,164,7120
01/03/2022,TM-055    ,484,242,7678,206,7472
01/03/2022,TM-056    ,222,111,3502.8,46.8,3456
01/03/2022,TM-057    ,538,269,8536,216,8320
01/03/2022,TM-058    ,484,242,7714,82,7632
01/03/2022,TM-059    ,247,123.5,3928,56,3872
01/03/2022,TM-060    ,520,260,8260,132,8128
01/04/2022,AM-001    ,3,1.5,47,0,47
01/04/2022,AM-008    ,1,0.5,5,0,5
01/04/2022,AM-01     ,1890,945,9279,114,9165
01/04/2022,AM-02     ,1873,936.5,9197,112,9085
01/04/2022,AM-03     ,762,381,6997,310,6687
01/04/2022,AM-04     ,749,374.5,6595,322,6273
01/04/2022,AM-05     ,803,401.5,7625,621,7004
01/04/2022,AM-06     ,905,452.5,8203,580,7623
01/04/2022,AM-068    ,1168,584,5239,899,4340
01/04/2022,AM-069    ,1095,547.5,5060,1347,3713
01/04/2022,AM-07     ,812,406,7516,500,7016
01/04/2022,AM-070    ,1148,574,5216,690,4526
01/04/2022,AM-071    ,1037,518.5,4734,604,4130
01/04/2022,AM-072    ,1230,615,6889,822,6067
01/04/2022,AM-073    ,1233,616.5,7578,862,6716
01/04/2022,AM-074    ,751,375.5,7768,1164,6604
01/04/2022,AM-075    ,683,341.5,7329,1433,5896
01/04/2022,AM-076    ,711,355.5,7297,831,6466
01/04/2022,AM-077    ,693,346.5,7315,796,6519
01/04/2022,AM-078    ,673,336.5,6800,542,6258
01/04/2022,AM-079    ,638,319,6698,553,6145
01/04/2022,AM-08     ,1053,526.5,5340,267,5073
01/04/2022,AM-080    ,706,353,7340,655,6685
01/04/2022,AM-081    ,694,347,6496,391,6105
01/04/2022,AM-082    ,809,404.5,7228,205,7023
01/04/2022,AM-083    ,893,446.5,7504,240,7264
01/04/2022,AM-084    ,889,444.5,7242,221,7021
01/04/2022,AM-085    ,925,462.5,7615,293,7322
01/04/2022,AM-086    ,934,467,6805,297,6508
01/04/2022,AM-087    ,1213,606.5,6543,251,6292
01/04/2022,AM-088    ,1176,588,5986,290,5696
01/04/2022,AM-089    ,1591,795.5,6503,456,6047
01/04/2022,AM-09     ,495,247.5,9406,1481,7925
01/04/2022,AM-090    ,1284,642,6333,652,5681
01/04/2022,AM-091    ,746,373,5695,806,4889
01/04/2022,AM-092    ,430,215,6189,1446,4743
01/04/2022,AM-093    ,244,122,4928,1240,3688
01/04/2022,AM-094    ,237,118.5,4943,1364,3579
01/04/2022,AM-095    ,216,108,4775,1830,2945
01/04/2022,AM-096    ,171,85.5,3574,1064,2510
01/04/2022,AM-097    ,138,69,2892,914,1978
01/04/2022,AM-098    ,93,46.5,1733,404,1329
01/04/2022,AM-099    ,68,34,1408,494,914
01/04/2022,AM-10     ,557,278.5,10647,2215,8432
01/04/2022,AM-100    ,73,36.5,862,203,659
01/04/2022,AM-101    ,18,9,364,60,304
01/04/2022,AM-102    ,14,7,288,60,228
01/04/2022,AM-103    ,24,12,319,70,249
01/04/2022,AM-11     ,402,201,7718,1482,6236
01/04/2022,AM-12     ,365,182.5,7386,1230,6156
01/04/2022,AM-13     ,540,270,10259.7,2686.8,7572.9
01/04/2022,AM-14     ,427,213.5,5087,809,4278
01/04/2022,AM-15     ,488,244,6044,598,5446
01/04/2022,AM-16     ,421,210.5,5731,864,4867
01/04/2022,AM-17     ,466,233,9494,2476,7018
01/04/2022,AM-18     ,446,223,8549,1706,6843
01/04/2022,AM-19     ,535,267.5,10156,1450,8706
01/04/2022,AM-20     ,418,209,7960,942,7018
01/04/2022,AM-21     ,514,257,10305,1470,8835
01/04/2022,AM-22     ,502,251,10055,1410,8645
01/04/2022,AM-23     ,410,205,8138,1811,6327
01/04/2022,AM-24     ,514,257,10451,2227,8224
01/04/2022,AM-25     ,403,201.5,8346.7,1888.8,6457.9
01/04/2022,AM-26     ,733,366.5,9913,762,9151
01/04/2022,AM-27     ,710,355,9765,821,8944
01/04/2022,AM-28     ,710,355,10015,736,9279
01/04/2022,AM-29     ,684,342,9589,937,8652
01/04/2022,AM-30     ,667,333.5,9445,690,8755
01/04/2022,AM-31     ,700,350,9717,637,9080
01/04/2022,AM-32     ,480,240,6771,576,6195
01/04/2022,AM-33     ,674,337,8487,799,7688
01/04/2022,AM-34     ,46,23,230,27,203
01/04/2022,AM-37     ,1146,573,4874,730,4144
01/04/2022,AM-38     ,1142,571,4894,782,4112
01/04/2022,AM-39     ,1185,592.5,5289,821,4468
01/04/2022,AM-40     ,1130,565,5071,761,4310
01/04/2022,AM-41     ,1854,927,7440,264,7176
01/04/2022,AM-42     ,1863,931.5,7601,390,7211
01/04/2022,AM-43     ,25,12.5,251,20,231
