Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes,Ingreso Total
04/01/2021,A15,1441,0,73,1368,1206.5,256.5,0,0,0,1441,1463,144,321,56,0,377,521,2904
04/01/2021,A16,11280.5,0,545.5,10735,2413,845.5,0,0,0,11280.5,3258.5,1130,392,183,0,575,1705,14539
04/01/2021,A17,1755,0,83,1672,712.5,175.75,0,0,0,1755,888.25,176,158,37,0,195,371,2643.25
04/01/2021,A18,8361.5,0,362.5,7999,3648,745.75,0,0,0,8361.5,4393.75,842,628,157,0,785,1627,12755.25
04/01/2021,A19,32337.5,0,1557.5,30780,11846.5,1572.25,0,0,0,32337.5,13418.75,3240,2209,394,0,2603,5843,45756.25
04/01/2021,A20,10845.5,0,528.5,10317,5073,669.75,0,0,0,10845.5,5742.75,1086,959,159,0,1118,2204,16588.25
05/01/2021,A03,617,0,28,589,104.5,99.75,0,0,0,617,204.25,62,31,22,0,53,115,821.25
05/01/2021,A05,1970.5,0,99,1871.5,655.5,147.25,0,0,0,1970.5,802.75,197,154,45,0,199,396,2773.25
05/01/2021,A06,7350.5,0,330,7020.5,5092,1011.75,0,0,0,7350.5,6103.75,739,990,226,0,1216,1955,13454.25
05/01/2021,A07,2112.5,0,98.5,2014,1026,232.75,0,0,0,2112.5,1258.75,212,199,53,0,252,464,3371.25
05/01/2021,A08,12712,0,590,12122,4085,665,0,0,0,12712,4750,1276,835,152,0,987,2263,17462
05/01/2021,A09,2378,0,117,2261,855,123.5,0,0,0,2378,978.5,238,130,29,0,159,397,3356.5
05/01/2021,A13,527.5,0,24,503.5,285,61.75,0,0,0,527.5,346.75,53,51,13,0,64,117,874.25
05/01/2021,A14,1393.5,0,63.5,1330,285,95,0,0,0,1393.5,380,140,32,20,0,52,192,1773.5
05/01/2021,A15,1430.5,0,62.5,1368,1282.5,180.5,0,0,0,1430.5,1463,144,257,39,0,296,440,2893.5
05/01/2021,A16,9431,0,425,9006,2726.5,722,0,0,0,9431,3448.5,948,339,152,0,491,1439,12879.5
05/01/2021,A17,1377,0,66,1311,741,171,0,0,0,1377,912,138,148,36,0,184,322,2289
05/01/2021,A18,6924.5,0,341,6583.5,3847.5,793.25,0,0,0,6924.5,4640.75,693,651,169,0,820,1513,11565.25
05/01/2021,A19,26538.5,0,1240,25298.5,9956,1311,0,0,0,26538.5,11267,2663,1915,305,0,2220,4883,37805.5
05/01/2021,A20,12939,0,636.5,12302.5,6830.5,693.5,0,0,0,12939,7524,1295,1219,172,0,1391,2686,20463
06/01/2021,A03,937,0,44,893,275.5,166.25,0,0,0,937,441.75,94,52,35,0,87,181,1378.75
06/01/2021,A05,1579,0,87.5,1491.5,617.5,156.75,0,0,0,1579,774.25,157,113,50,0,163,320,2353.25
06/01/2021,A06,6726.5,0,304.5,6422,5073,926.25,0,0,0,6726.5,5999.25,676,904,208,0,1112,1788,12725.75
06/01/2021,A07,1583,0,72.5,1510.5,627,228,0,0,0,1583,855,159,130,49,0,179,338,2438
06/01/2021,A08,15190.5,0,693.5,14497,6004,912,0,0,0,15190.5,6916,1526,1175,200,0,1375,2901,22106.5
06/01/2021,A09,2926.5,0,133.5,2793,1605.5,123.5,0,0,0,2926.5,1729,294,269,29,0,298,592,4655.5
06/01/2021,A13,646.5,0,29,617.5,190,42.75,0,0,0,646.5,232.75,65,44,9,0,53,118,879.25
06/01/2021,A14,1397,0,57.5,1339.5,247,104.5,0,0,0,1397,351.5,141,26,22,0,48,189,1748.5
06/01/2021,A15,99.5,0,4.5,95,28.5,4.75,0,0,0,99.5,33.25,10,3,1,0,4,14,132.75
06/01/2021,A16,10000,0,443,9557,2764.5,888.25,0,0,0,10000,3652.75,1006,405,190,0,595,1601,13652.75
06/01/2021,A17,1557,0,84.5,1472.5,788.5,294.5,0,0,0,1557,1083,155,161,62,0,223,378,2640
06/01/2021,A18,7227,0,330,6897,3496,655.5,0,0,0,7227,4151.5,726,756,143,0,899,1625,11378.5
06/01/2021,A19,23980,0,1066,22914,9443,1263.5,0,0,0,23980,10706.5,2412,1896,300,0,2196,4608,34686.5
06/01/2021,A20,12220,0,601.5,11618.5,6840,712.5,0,0,0,12220,7552.5,1223,1150,165,0,1315,2538,19772.5
07/01/2021,A03,840,0,42,798,285,90.25,0,0,0,840,375.25,84,54,19,0,73,157,1215.25
07/01/2021,A05,923.5,0,40,883.5,627,142.5,0,0,0,923.5,769.5,93,113,38,0,151,244,1693
