Fecha,Ruta,Efectivo,Tarifa Incompleta,Overpay,Monto Pasajes,Monto Tarjeta Gral,Monto Tarjeta Per,Monto Tarjeta Bpd,Recargas,Recargas Error,Monto Total Efectivo,Monto Total Tarjetas,Pasajes Efectivo,Pasajes Tarjeta Gral,Pasajes Tarjeta Per,Pasajes Bpd,Total Pasajes Tarjeta,Total Pasajes
26/04/2022,A13,$378.00,$23.50,$17.00,$361.00,$232.75,$52.25,$61.75,$0.00,$0.00,$401.50,$346.75,38,29,12,13,54,92
26/04/2022,A15,"$3,540.50",$169.00,$158.50,"$3,382.00","$3,543.50",$726.75,$147.25,$0.00,$0.00,"$3,709.50","$4,417.50",356,488,153,31,672,"1,028"
26/04/2022,A16,"$7,241.00",$497.50,$363.00,"$6,878.00","$6,740.25","$1,771.75",$821.75,$0.00,$0.00,"$7,738.50","$9,333.75",724,848,373,173,"1,394","2,118"
26/04/2022,A17,"$3,108.50",$362.00,$192.00,"$2,916.50","$2,930.75",$527.25,$256.50,$0.00,$0.00,"$3,470.50","$3,714.50",307,396,111,54,561,868
26/04/2022,A18,"$12,019.50",$751.50,$648.00,"$11,371.50","$11,770.50","$1,890.50",$674.50,$0.00,$0.00,"$12,771.00","$14,335.50","1,197","1,404",399,142,"1,945","3,142"
26/04/2022,A19,"$33,189.50","$1,832.50","$1,630.50","$31,559.00","$25,270.00","$3,106.50","$1,007.00",$0.00,$0.00,"$35,022.00","$29,383.50","3,322","3,164",654,212,"4,030","7,352"
26/04/2022,A20,"$23,498.00","$1,448.00","$1,182.50","$22,315.50","$14,772.50","$2,726.50",$807.50,$0.00,$0.00,"$24,946.00","$18,306.50","2,349","1,891",574,170,"2,635","4,984"
26/04/2022,A21,"$27,904.50","$1,895.00","$1,409.00","$26,495.50","$24,472.00","$2,227.75",$731.50,$0.00,$0.00,"$29,799.50","$27,431.25","2,789","3,123",469,154,"3,746","6,535"
27/04/2022,A03,"$1,076.00",$41.50,$50.00,"$1,026.00",$446.50,$152.00,$142.50,$0.00,$0.00,"$1,117.50",$741.00,108,59,32,30,121,229
27/04/2022,A05,"$2,106.50",$171.50,$102.00,"$2,004.50","$1,781.25",$413.25,$171.00,$0.00,$0.00,"$2,278.00","$2,365.50",211,261,88,36,385,596
